rho,lambda,dual_theta_mse,dual_z_mse,dual_joint_mse,single_theta_mse,single_z_mse,single_joint_mse,best_tau,gap
0.0100000000,1.0000000000,0.6045305541,0.5926932010,1.1972237552,0.6045305541,0.5926932010,1.1972237552,0.0100000000,0.0000000000
0.0114441930,1.1444192980,0.6071754262,0.5941778193,1.2013532455,0.6095884419,0.5947625768,1.2043510187,0.0112378797,0.0029977732
0.0130969553,1.3096955296,0.4501690588,0.4961628774,0.9463319363,0.4400924953,0.4975917592,0.9376842545,0.0130969553,-0.0086476818
0.0149884084,1.4988408385,0.5665852872,0.6636084162,1.2301937034,0.5982509213,0.6897566228,1.2880075441,0.0149884084,0.0578138407
0.0171530238,1.7153023802,0.7496242810,0.6795094262,1.4291337073,0.6604609708,0.6124861494,1.2729471202,0.0148173426,-0.1561865870
0.0196302515,1.9630251458,0.6282210034,0.6652295688,1.2934505722,0.6444530856,0.6666731121,1.3111261977,0.0123584289,0.0176756255
0.0224652386,2.2465238592,0.6033112306,0.6707700417,1.2740812723,0.6347826521,0.7083424893,1.3431251414,0.0173773861,0.0690438691
0.0257096526,2.5709652578,0.4070704231,0.6455197528,1.0525901759,0.5229032010,0.6800074545,1.2029106554,0.0196181546,0.1503204796
0.0294226226,2.9422622555,0.3862659326,0.5503422915,0.9366082241,0.5287851149,0.6675020369,1.1962871519,0.0179276010,0.2596789277
0.0336718170,3.3671817049,0.3565492850,0.4924279997,0.8489772847,0.5280152621,0.6452538912,1.1732691533,0.0104830983,0.3242918686
0.0385346772,3.8534677229,0.4390913408,0.5749869762,1.0140783170,0.5229488133,0.6441540476,1.1671028609,0.0251408491,0.1530245439
0.0440998283,4.4099828262,0.3619949042,0.6177632741,0.9797581783,0.5733564461,0.7733239024,1.3466803485,0.0218305527,0.3669221702
0.0504686945,5.0468694500,0.4343336326,0.6881698709,1.1225035034,0.6342731924,0.7937798105,1.4280530029,0.0339508600,0.3055494995
0.0577573479,5.7757347930,0.5767432444,0.7615768191,1.3383200635,0.6300510800,0.8097721453,1.4398232253,0.0246195963,0.1015031618
0.0660986236,6.6098623571,0.4769838204,0.7314942352,1.2084780556,0.6360196491,0.8464855545,1.4825052036,0.0294627878,0.2740271480
0.0756445404,7.5644540384,0.3505880272,0.6899889274,1.0405769546,0.5659625323,0.8016679247,1.3676304570,0.0327746365,0.3270535023
0.0865690718,8.6569071802,0.3514186498,0.6470055702,0.9984242200,0.5505421896,0.7423631136,1.2929053031,0.0428153165,0.2944810831
0.0990713164,9.9071316378,0.3705537890,0.6154936952,0.9860474842,0.5575818002,0.7245136734,1.2820954736,0.0409022934,0.2960479894
0.1133791263,11.3379126338,0.3762023107,0.7499202688,1.1261225795,0.5807698422,0.8115703349,1.3923401771,0.0521955618,0.2662175976
0.1297532602,12.9753260169,0.3350517631,0.7477781303,1.0828298935,0.5813252795,0.8554829554,1.4368082349,0.0539909935,0.3539783414
0.1484921349,14.8492134913,0.3285028729,0.7482827322,1.0767856051,0.5660626257,0.8467448930,1.4128075187,0.0523955515,0.3360219137
0.1699372648,16.9937264792,0.3046851072,0.7612952924,1.0659803996,0.6151687531,0.8769664353,1.4921351883,0.0654884388,0.4261547888
0.1944794853,19.4479485273,0.3648238654,0.7940161452,1.1588400106,0.5858550704,0.9090235902,1.4948786606,0.0627084244,0.3360386500
0.2225660760,22.2566076006,0.3399524783,0.7641674636,1.1041199419,0.6450377073,0.8931569738,1.5381946811,0.0620569982,0.4340747392
0.2547089125,25.4708912456,0.3201802016,0.7931198641,1.1133000657,0.5865763640,0.9183085361,1.5048849001,0.0849108916,0.3915848344
0.2914937948,29.1493794781,0.3223299477,0.7904343081,1.1127642559,0.5742795561,0.9212950902,1.4955746463,0.0904267985,0.3828103904
0.3335911240,33.3591123987,0.2935327122,0.8249232158,1.1184559280,0.5676475354,0.9559916555,1.5236391909,0.0760390049,0.4051832629
0.3817681199,38.1768119924,0.2776726801,0.7856113273,1.0632840074,0.5889208000,0.9238655021,1.5127863021,0.0934581494,0.4495022947
0.4369028038,43.6902803793,0.2562896561,0.7912189430,1.0475085991,0.5996004916,0.9417121472,1.5413126388,0.1145476254,0.4938040397
0.5000000000,50.0000000000,0.2059895767,0.8190575523,1.0250471290,0.5795309409,0.9929625541,1.5724934950,0.0900000000,0.5474463660
