base_gap,base_gap_ci95,clockwork_fraction,clockwork_fraction_ci95,clockwork_fraction_theta,clockwork_fraction_theta_ci95,clockwork_fraction_z,clockwork_fraction_z_ci95,clockwork_mse,clockwork_mse_ci95,clockwork_theta_cls,clockwork_theta_cls_ci95,clockwork_theta_mse,clockwork_theta_mse_ci95,clockwork_weighted_cls,clockwork_weighted_cls_ci95,clockwork_z_cls,clockwork_z_cls_ci95,clockwork_z_mse,clockwork_z_mse_ci95,dual_mse,dual_mse_ci95,dual_theta_cls,dual_theta_cls_ci95,dual_theta_mse,dual_theta_mse_ci95,dual_weighted_cls,dual_weighted_cls_ci95,dual_z_cls,dual_z_cls_ci95,dual_z_mse,dual_z_mse_ci95,gap_theta,gap_theta_ci95,gap_z,gap_z_ci95,gru_fraction,gru_fraction_ci95,gru_fraction_theta,gru_fraction_theta_ci95,gru_fraction_z,gru_fraction_z_ci95,gru_mse,gru_mse_ci95,gru_theta_cls,gru_theta_cls_ci95,gru_theta_mse,gru_theta_mse_ci95,gru_weighted_cls,gru_weighted_cls_ci95,gru_z_cls,gru_z_cls_ci95,gru_z_mse,gru_z_mse_ci95,lambda,one_pole_fraction,one_pole_fraction_ci95,one_pole_fraction_theta,one_pole_fraction_theta_ci95,one_pole_fraction_z,one_pole_fraction_z_ci95,one_pole_mse,one_pole_mse_ci95,one_pole_theta_cls,one_pole_theta_cls_ci95,one_pole_theta_mse,one_pole_theta_mse_ci95,one_pole_weighted_cls,one_pole_weighted_cls_ci95,one_pole_z_cls,one_pole_z_cls_ci95,one_pole_z_mse,one_pole_z_mse_ci95,rho,single_mse,single_mse_ci95,single_theta_cls,single_theta_cls_ci95,single_theta_mse,single_theta_mse_ci95,single_weighted_cls,single_weighted_cls_ci95,single_z_cls,single_z_cls_ci95,single_z_mse,single_z_mse_ci95,tau_star,tau_star_ci95
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.18925126,0.36445986,0.52066667,0.27002829,1.13700868,0.33461621,1.14133333,0.48937501,0.62066667,0.22665488,1.05224258,0.07263946,1.32585350,0.36160872,0.32400000,0.10056666,0.66734575,0.19419596,0.62733333,0.19386944,0.30333333,0.09882409,0.65850776,0.16863252,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00211346,0.11829328,0.54800000,0.28966033,1.00870373,0.10393437,0.98066667,0.51854832,0.43266667,0.26927639,0.99340973,0.02287205,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.13441071,0.17595385,0.68266667,0.22525698,1.18189219,0.14370654,1.00666667,0.11141201,0.32400000,0.16675237,0.95251852,0.05376905,0.01000000,1.32585350,0.36160872,0.32400000,0.10056666,0.66734575,0.19419596,0.62733333,0.19386944,0.30333333,0.09882409,0.65850776,0.16863252,0.01000000,0.00000000
0.67451125,0.14956429,-1.19116595,0.55417262,-0.90721959,0.29334649,-2.03415949,1.53908296,1.99074904,0.14189009,0.40533333,0.20629821,0.96298330,0.06898965,0.88266667,0.22394567,0.47733333,0.06455780,1.02776574,0.07759655,0.59438443,0.13205244,0.02800000,0.02658673,0.09787871,0.08785559,0.20733333,0.04246164,0.17933333,0.02200095,0.49650572,0.05568699,0.46515621,0.07949676,0.20935504,0.07264791,-1.14000048,0.37689170,-0.91424407,0.24443243,-1.77298929,0.95205560,1.97939863,0.03258805,0.28000000,0.17002992,0.96938330,0.04438690,0.75800000,0.18915777,0.47800000,0.04847892,1.01001533,0.01585385,50.00000000,-1.05989438,0.48098918,-0.72508995,0.37570081,-1.93961298,1.05576183,1.91463524,0.13329174,0.30866667,0.15428353,0.87367568,0.11998349,0.85266667,0.17429924,0.54400000,0.06291705,1.04095955,0.04831784,0.50000000,1.26889568,0.06761273,0.21200000,0.01065554,0.56303492,0.03547744,0.50266667,0.03249636,0.29066667,0.02665088,0.70586076,0.04809875,0.27861514,0.03076120
