base_gap,base_gap_ci95,clockwork_fraction,clockwork_fraction_ci95,clockwork_mse,clockwork_mse_ci95,clockwork_theta_cls,clockwork_theta_cls_ci95,clockwork_weighted_cls,clockwork_weighted_cls_ci95,clockwork_z_cls,clockwork_z_cls_ci95,diag_y_gru_mse,diag_y_gru_mse_ci95,diag_y_gru_theta_cls,diag_y_gru_theta_cls_ci95,diag_y_gru_weighted_cls,diag_y_gru_weighted_cls_ci95,diag_y_gru_z_cls,diag_y_gru_z_cls_ci95,dual_mse,dual_mse_ci95,dual_theta_cls,dual_theta_cls_ci95,dual_weighted_cls,dual_weighted_cls_ci95,dual_z_cls,dual_z_cls_ci95,gru_fraction,gru_fraction_ci95,gru_mse,gru_mse_ci95,gru_theta_cls,gru_theta_cls_ci95,gru_weighted_cls,gru_weighted_cls_ci95,gru_z_cls,gru_z_cls_ci95,lambda,one_pole_fraction,one_pole_fraction_ci95,one_pole_mse,one_pole_mse_ci95,one_pole_theta_cls,one_pole_theta_cls_ci95,one_pole_weighted_cls,one_pole_weighted_cls_ci95,one_pole_z_cls,one_pole_z_cls_ci95,rho,single_mse,single_mse_ci95,single_theta_cls,single_theta_cls_ci95,single_weighted_cls,single_weighted_cls_ci95,single_z_cls,single_z_cls_ci95,tau_star,tau_star_ci95
0.00000000,0.00000000,0.00000000,0.00000000,2.58967108,0.00000000,0.09000000,0.00000000,0.88000000,0.00000000,0.79000000,0.00000000,2.22673279,0.00000000,0.52000000,0.00000000,1.31000000,0.00000000,0.79000000,0.00000000,1.33980136,0.00000000,0.35000000,0.00000000,0.64000000,0.00000000,0.29000000,0.00000000,0.00000000,0.00000000,2.22660658,0.00000000,0.17000000,0.00000000,0.96000000,0.00000000,0.79000000,0.00000000,1.00000000,0.00000000,0.00000000,1.92027090,0.00000000,0.17000000,0.00000000,0.82000000,0.00000000,0.65000000,0.00000000,0.01000000,1.33980136,0.00000000,0.35000000,0.00000000,0.64000000,0.00000000,0.29000000,0.00000000,0.01000000,0.00000000
0.32619054,0.00000000,-2.18603395,0.00000000,2.02174718,0.00000000,0.42000000,0.00000000,0.91000000,0.00000000,0.49000000,0.00000000,1.96540966,0.00000000,0.42000000,0.00000000,0.95000000,0.00000000,0.53000000,0.00000000,0.98249306,0.00000000,0.12000000,0.00000000,0.34000000,0.00000000,0.22000000,0.00000000,-2.03487959,0.00000000,1.97244206,0.00000000,0.42000000,0.00000000,0.95000000,0.00000000,0.53000000,0.00000000,50.00000000,-2.11766757,0.00000000,1.99944672,0.00000000,0.42000000,0.00000000,0.79000000,0.00000000,0.37000000,0.00000000,0.50000000,1.30868359,0.00000000,0.24000000,0.00000000,0.49000000,0.00000000,0.25000000,0.00000000,0.36331102,0.00000000
